chr1L	chr1L
Scaffold106677	chrUn_NW_016793874v1
Scaffold106678	chrUn_NW_016793875v1
Scaffold106679	chrUn_NW_016793876v1
Scaffold10668	chrUn_NW_016704645v1
Scaffold106680	chrUn_NW_016793877v1
Scaffold106681	chrUn_NW_016793878v1
Scaffold106682	chrUn_NW_016793879v1
Scaffold106683	chrUn_NW_016793880v1
Scaffold106684	chrUn_NW_016793881v1
Scaffold106685	chrUn_NW_016793882v1
Scaffold106686	chrUn_NW_016793883v1
Scaffold106687	chrUn_NW_016793884v1
Scaffold106688	chrUn_NW_016793885v1
Scaffold106689	chrUn_NW_016793886v1
Scaffold10669	chrUn_NW_016704646v1
Scaffold106690	chrUn_NW_016793887v1
Scaffold106691	chrUn_NW_016793888v1
Scaffold106692	chrUn_NW_016793889v1
Scaffold106693	chrUn_NW_016793890v1
Scaffold106694	chrUn_NW_016793891v1
Scaffold106695	chrUn_NW_016793892v1
Scaffold106696	chrUn_NW_016793893v1
Scaffold106697	chrUn_NW_016793894v1
Scaffold106698	chrUn_NW_016793895v1
Scaffold106699	chrUn_NW_016793896v1
Scaffold1067	chrUn_NW_016695843v1
Scaffold10670	chrUn_NW_016704647v1
Scaffold106700	chrUn_NW_016793897v1
Scaffold106701	chrUn_NW_016793898v1
Scaffold106702	chrUn_NW_016793899v1
Scaffold106703	chrUn_NW_016793900v1
Scaffold106704	chrUn_NW_016793901v1
Scaffold106705	chrUn_NW_016793902v1
Scaffold106706	chrUn_NW_016793903v1
Scaffold106707	chrUn_NW_016793904v1
Scaffold106708	chrUn_NW_016793905v1
Scaffold106709	chrUn_NW_016793906v1
Scaffold10671	chrUn_NW_016704648v1
Scaffold106710	chrUn_NW_016793907v1
Scaffold106711	chrUn_NW_016793908v1
Scaffold106712	chrUn_NW_016793909v1
Scaffold106713	chrUn_NW_016793910v1
Scaffold106714	chrUn_NW_016793911v1
Scaffold106715	chrUn_NW_016793912v1
Scaffold106716	chrUn_NW_016793913v1
Scaffold106717	chrUn_NW_016793914v1
Scaffold106718	chrUn_NW_016793915v1
Scaffold106719	chrUn_NW_016793916v1
Scaffold10672	chrUn_NW_016704649v1
Scaffold106720	chrUn_NW_016793917v1
Scaffold106721	chrUn_NW_016793918v1
Scaffold106722	chrUn_NW_016793919v1
Scaffold106723	chrUn_NW_016793920v1
Scaffold106724	chrUn_NW_016793921v1
Scaffold106725	chrUn_NW_016793922v1
Scaffold106726	chrUn_NW_016793923v1
Scaffold106727	chrUn_NW_016793924v1
Scaffold106728	chrUn_NW_016793925v1
Scaffold106729	chrUn_NW_016793926v1
Scaffold106730	chrUn_NW_016793927v1
Scaffold106731	chrUn_NW_016793928v1
Scaffold106732	chrUn_NW_016793929v1
Scaffold106733	chrUn_NW_016793930v1
Scaffold106734	chrUn_NW_016793931v1
Scaffold106735	chrUn_NW_016793932v1
Scaffold106736	chrUn_NW_016793933v1
Scaffold106737	chrUn_NW_016793934v1
Scaffold106738	chrUn_NW_016793935v1
Scaffold106739	chrUn_NW_016793936v1
Scaffold106740	chrUn_NW_016793937v1
Scaffold106741	chrUn_NW_016793938v1
Scaffold106742	chrUn_NW_016793939v1
Scaffold106743	chrUn_NW_016793940v1
Scaffold106744	chrUn_NW_016793941v1
Scaffold106745	chrUn_NW_016793942v1
Scaffold106746	chrUn_NW_016793943v1
Scaffold106747	chrUn_NW_016793944v1
Scaffold106748	chrUn_NW_016793945v1
Scaffold106749	chrUn_NW_016793946v1
Scaffold106750	chrUn_NW_016793947v1
Scaffold106751	chrUn_NW_016793948v1
Scaffold106752	chrUn_NW_016793949v1
Scaffold106753	chrUn_NW_016793950v1
Scaffold106754	chrUn_NW_016793951v1
Scaffold106755	chrUn_NW_016793952v1
Scaffold106756	chrUn_NW_016793953v1
Scaffold106757	chrUn_NW_016793954v1
Scaffold106758	chrUn_NW_016793955v1
Scaffold106759	chrUn_NW_016793956v1
Scaffold10676	chrUn_NW_016704650v1
Scaffold106760	chrUn_NW_016793957v1
Scaffold106761	chrUn_NW_016793958v1
Scaffold106762	chrUn_NW_016793959v1
Scaffold106763	chrUn_NW_016793960v1
Scaffold106764	chrUn_NW_016793961v1
Scaffold106765	chrUn_NW_016793962v1
Scaffold106766	chrUn_NW_016793963v1
Scaffold106767	chrUn_NW_016793964v1
Scaffold106768	chrUn_NW_016793965v1
Scaffold106769	chrUn_NW_016793966v1
Scaffold10677	chrUn_NW_016704651v1
Scaffold106770	chrUn_NW_016793967v1
Scaffold106771	chrUn_NW_016793968v1
Scaffold106772	chrUn_NW_016793969v1
Scaffold106773	chrUn_NW_016793970v1
Scaffold106774	chrUn_NW_016793971v1
Scaffold106775	chrUn_NW_016793972v1
Scaffold106776	chrUn_NW_016793973v1
Scaffold106777	chrUn_NW_016793974v1
Scaffold106778	chrUn_NW_016793975v1
Scaffold106779	chrUn_NW_016793976v1
Scaffold10678	chrUn_NW_016704652v1
Scaffold106780	chrUn_NW_016793977v1
Scaffold106781	chrUn_NW_016793978v1
Scaffold106782	chrUn_NW_016793979v1
Scaffold106783	chrUn_NW_016793980v1
Scaffold106784	chrUn_NW_016793981v1
Scaffold106785	chrUn_NW_016793982v1
Scaffold106786	chrUn_NW_016793983v1
Scaffold106787	chrUn_NW_016793984v1
Scaffold106788	chrUn_NW_016793985v1
Scaffold106789	chrUn_NW_016793986v1
Scaffold10679	chrUn_NW_016704653v1
Scaffold106790	chrUn_NW_016793987v1
Scaffold106791	chrUn_NW_016793988v1
Scaffold106792	chrUn_NW_016793989v1
Scaffold106793	chrUn_NW_016793990v1
Scaffold106794	chrUn_NW_016793991v1
Scaffold106795	chrUn_NW_016793992v1
Scaffold106796	chrUn_NW_016793993v1
Scaffold106797	chrUn_NW_016793994v1
Scaffold106798	chrUn_NW_016793995v1
Scaffold106799	chrUn_NW_016793996v1
Scaffold1068	chrUn_NW_016695844v1
Scaffold10680	chrUn_NW_016704654v1
Scaffold106800	chrUn_NW_016793997v1
Scaffold106801	chrUn_NW_016793998v1
Scaffold106802	chrUn_NW_016793999v1
Scaffold106803	chrUn_NW_016794000v1
Scaffold106804	chrUn_NW_016794001v1
Scaffold106805	chrUn_NW_016794002v1
Scaffold106806	chrUn_NW_016794003v1
Scaffold106807	chrUn_NW_016794004v1
Scaffold106808	chrUn_NW_016794005v1
Scaffold106809	chrUn_NW_016794006v1
Scaffold10681	chrUn_NW_016704655v1
Scaffold106810	chrUn_NW_016794007v1
Scaffold106811	chrUn_NW_016794008v1
Scaffold106812	chrUn_NW_016794009v1
Scaffold106813	chrUn_NW_016794010v1
Scaffold106814	chrUn_NW_016794011v1
Scaffold106815	chrUn_NW_016794012v1
Scaffold106816	chrUn_NW_016794013v1
Scaffold106817	chrUn_NW_016794014v1
Scaffold106818	chrUn_NW_016794015v1
Scaffold106819	chrUn_NW_016794016v1
Scaffold10682	chrUn_NW_016704656v1
Scaffold106820	chrUn_NW_016794017v1
Scaffold106821	chrUn_NW_016794018v1
Scaffold106822	chrUn_NW_016794019v1
Scaffold106823	chrUn_NW_016794020v1
Scaffold106824	chrUn_NW_016794021v1
Scaffold106825	chrUn_NW_016794022v1
Scaffold106826	chrUn_NW_016794023v1
Scaffold106827	chrUn_NW_016794024v1
Scaffold106828	chrUn_NW_016794025v1
Scaffold106829	chrUn_NW_016794026v1
Scaffold10683	chrUn_NW_016704657v1
Scaffold106830	chrUn_NW_016794027v1
Scaffold106831	chrUn_NW_016794028v1
Scaffold106832	chrUn_NW_016794029v1
Scaffold106833	chrUn_NW_016794030v1
Scaffold106834	chrUn_NW_016794031v1
Scaffold106835	chrUn_NW_016794032v1
Scaffold106836	chrUn_NW_016794033v1
Scaffold106837	chrUn_NW_016794034v1
Scaffold106838	chrUn_NW_016794035v1
Scaffold106839	chrUn_NW_016794036v1
Scaffold10684	chrUn_NW_016704658v1
Scaffold106840	chrUn_NW_016794037v1
Scaffold106841	chrUn_NW_016794038v1
Scaffold106842	chrUn_NW_016794039v1
Scaffold106843	chrUn_NW_016794040v1
Scaffold106844	chrUn_NW_016794041v1
Scaffold106845	chrUn_NW_016794042v1
Scaffold106846	chrUn_NW_016794043v1
Scaffold106847	chrUn_NW_016794044v1
Scaffold106848	chrUn_NW_016794045v1
Scaffold106849	chrUn_NW_016794046v1
Scaffold106850	chrUn_NW_016794047v1
Scaffold106851	chrUn_NW_016794048v1
Scaffold106852	chrUn_NW_016794049v1
Scaffold106853	chrUn_NW_016794050v1
Scaffold106854	chrUn_NW_016794051v1
Scaffold106855	chrUn_NW_016794052v1
Scaffold106856	chrUn_NW_016794053v1
Scaffold106857	chrUn_NW_016794054v1
Scaffold106858	chrUn_NW_016794055v1
Scaffold106859	chrUn_NW_016794056v1
Scaffold10686	chrUn_NW_016704659v1
Scaffold106860	chrUn_NW_016794057v1
Scaffold106861	chrUn_NW_016794058v1
Scaffold106862	chrUn_NW_016794059v1
Scaffold106863	chrUn_NW_016794060v1
Scaffold106864	chrUn_NW_016794061v1
Scaffold106865	chrUn_NW_016794062v1
Scaffold106866	chrUn_NW_016794063v1
Scaffold106867	chrUn_NW_016794064v1
Scaffold106868	chrUn_NW_016794065v1
Scaffold106869	chrUn_NW_016794066v1
Scaffold10687	chrUn_NW_016704660v1
Scaffold106870	chrUn_NW_016794067v1
Scaffold106871	chrUn_NW_016794068v1
Scaffold106872	chrUn_NW_016794069v1
Scaffold106873	chrUn_NW_016794070v1
Scaffold106874	chrUn_NW_016794071v1
Scaffold106875	chrUn_NW_016794072v1
Scaffold106876	chrUn_NW_016794073v1
Scaffold106877	chrUn_NW_016794074v1
Scaffold106878	chrUn_NW_016794075v1
Scaffold106879	chrUn_NW_016794076v1
Scaffold10688	chrUn_NW_016704661v1
Scaffold106880	chrUn_NW_016794077v1
Scaffold106881	chrUn_NW_016794078v1
Scaffold106882	chrUn_NW_016794079v1
Scaffold106883	chrUn_NW_016794080v1
Scaffold106884	chrUn_NW_016794081v1
Scaffold106885	chrUn_NW_016794082v1
Scaffold106886	chrUn_NW_016794083v1
Scaffold106887	chrUn_NW_016794084v1
Scaffold106888	chrUn_NW_016794085v1
Scaffold106889	chrUn_NW_016794086v1
Scaffold10689	chrUn_NW_016704662v1
Scaffold106890	chrUn_NW_016794087v1
Scaffold106891	chrUn_NW_016794088v1
Scaffold106892	chrUn_NW_016794089v1
Scaffold106893	chrUn_NW_016794090v1
Scaffold106894	chrUn_NW_016794091v1
Scaffold106895	chrUn_NW_016794092v1
Scaffold106896	chrUn_NW_016794093v1
Scaffold106897	chrUn_NW_016794094v1
Scaffold106898	chrUn_NW_016794095v1
Scaffold106899	chrUn_NW_016794096v1
Scaffold1069	chrUn_NW_016695845v1
Scaffold10690	chrUn_NW_016704663v1
Scaffold106900	chrUn_NW_016794097v1
Scaffold106901	chrUn_NW_016794098v1
Scaffold106902	chrUn_NW_016794099v1
Scaffold106903	chrUn_NW_016794100v1
Scaffold106904	chrUn_NW_016794101v1
Scaffold106905	chrUn_NW_016794102v1
Scaffold106906	chrUn_NW_016794103v1
Scaffold106907	chrUn_NW_016794104v1
Scaffold106908	chrUn_NW_016794105v1
Scaffold106909	chrUn_NW_016794106v1
Scaffold10691	chrUn_NW_016704664v1
Scaffold106910	chrUn_NW_016794107v1
Scaffold106911	chrUn_NW_016794108v1
Scaffold106912	chrUn_NW_016794109v1
Scaffold106913	chrUn_NW_016794110v1
Scaffold106914	chrUn_NW_016794111v1
Scaffold106915	chrUn_NW_016794112v1
Scaffold106916	chrUn_NW_016794113v1
Scaffold106917	chrUn_NW_016794114v1
Scaffold106918	chrUn_NW_016794115v1
Scaffold106919	chrUn_NW_016794116v1
Scaffold10692	chrUn_NW_016704665v1
Scaffold106920	chrUn_NW_016794117v1
Scaffold106921	chrUn_NW_016794118v1
Scaffold106922	chrUn_NW_016794119v1
Scaffold106923	chrUn_NW_016794120v1
Scaffold106924	chrUn_NW_016794121v1
Scaffold106925	chrUn_NW_016794122v1
Scaffold106926	chrUn_NW_016794123v1
Scaffold106927	chrUn_NW_016794124v1
Scaffold106928	chrUn_NW_016794125v1
Scaffold106929	chrUn_NW_016794126v1
Scaffold10693	chrUn_NW_016704666v1
Scaffold106930	chrUn_NW_016794127v1
Scaffold106931	chrUn_NW_016794128v1
Scaffold106932	chrUn_NW_016794129v1
Scaffold106933	chrUn_NW_016794130v1
Scaffold106934	chrUn_NW_016794131v1
Scaffold106935	chrUn_NW_016794132v1
Scaffold106936	chrUn_NW_016794133v1
Scaffold106937	chrUn_NW_016794134v1
Scaffold106938	chrUn_NW_016794135v1
Scaffold106939	chrUn_NW_016794136v1
Scaffold10694	chrUn_NW_016704667v1
Scaffold106940	chrUn_NW_016794137v1
Scaffold106941	chrUn_NW_016794138v1
Scaffold106942	chrUn_NW_016794139v1
Scaffold106943	chrUn_NW_016794140v1
Scaffold106944	chrUn_NW_016794141v1
Scaffold106945	chrUn_NW_016794142v1
Scaffold106946	chrUn_NW_016794143v1
Scaffold106947	chrUn_NW_016794144v1
Scaffold106948	chrUn_NW_016794145v1
Scaffold106949	chrUn_NW_016794146v1
Scaffold10695	chrUn_NW_016704668v1
Scaffold106950	chrUn_NW_016794147v1
Scaffold106951	chrUn_NW_016794148v1
Scaffold106952	chrUn_NW_016794149v1
Scaffold106953	chrUn_NW_016794150v1
Scaffold106954	chrUn_NW_016794151v1
Scaffold106955	chrUn_NW_016794152v1
Scaffold106956	chrUn_NW_016794153v1
Scaffold106957	chrUn_NW_016794154v1
Scaffold106958	chrUn_NW_016794155v1
Scaffold106959	chrUn_NW_016794156v1
Scaffold10696	chrUn_NW_016704669v1
Scaffold106960	chrUn_NW_016794157v1
Scaffold106961	chrUn_NW_016794158v1
Scaffold106962	chrUn_NW_016794159v1
Scaffold106963	chrUn_NW_016794160v1
Scaffold106964	chrUn_NW_016794161v1
Scaffold106965	chrUn_NW_016794162v1
Scaffold106966	chrUn_NW_016794163v1
Scaffold106967	chrUn_NW_016794164v1
Scaffold106968	chrUn_NW_016794165v1
Scaffold106969	chrUn_NW_016794166v1
Scaffold106970	chrUn_NW_016794167v1
Scaffold106971	chrUn_NW_016794168v1
Scaffold106972	chrUn_NW_016794169v1
Scaffold106973	chrUn_NW_016794170v1
Scaffold106974	chrUn_NW_016794171v1
Scaffold106975	chrUn_NW_016794172v1
Scaffold106976	chrUn_NW_016794173v1
Scaffold106977	chrUn_NW_016794174v1
Scaffold106978	chrUn_NW_016794175v1
Scaffold106979	chrUn_NW_016794176v1
Scaffold10698	chrUn_NW_016704670v1
Scaffold106980	chrUn_NW_016794177v1
Scaffold106981	chrUn_NW_016794178v1
Scaffold106982	chrUn_NW_016794179v1
Scaffold106983	chrUn_NW_016794180v1
Scaffold106984	chrUn_NW_016794181v1
Scaffold106985	chrUn_NW_016794182v1
Scaffold106986	chrUn_NW_016794183v1
Scaffold106987	chrUn_NW_016794184v1
Scaffold106988	chrUn_NW_016794185v1
Scaffold106989	chrUn_NW_016794186v1
Scaffold10699	chrUn_NW_016704671v1
Scaffold106990	chrUn_NW_016794187v1
Scaffold106991	chrUn_NW_016794188v1
Scaffold106992	chrUn_NW_016794189v1
Scaffold106993	chrUn_NW_016794190v1
Scaffold106994	chrUn_NW_016794191v1
Scaffold106995	chrUn_NW_016794192v1
Scaffold106996	chrUn_NW_016794193v1
Scaffold106997	chrUn_NW_016794194v1
Scaffold106998	chrUn_NW_016794195v1
Scaffold106999	chrUn_NW_016794196v1
Scaffold107	chrUn_NW_016694898v1
Scaffold107000	chrUn_NW_016794197v1
Scaffold107001	chrUn_NW_016794198v1
Scaffold107002	chrUn_NW_016794199v1
Scaffold107003	chrUn_NW_016794200v1
Scaffold107004	chrUn_NW_016794201v1
Scaffold107005	chrUn_NW_016794202v1
Scaffold107006	chrUn_NW_016794203v1
Scaffold107007	chrUn_NW_016794204v1
Scaffold107008	chrUn_NW_016794205v1
Scaffold107009	chrUn_NW_016794206v1
Scaffold10701	chrUn_NW_016704672v1
Scaffold107010	chrUn_NW_016794207v1
Scaffold107011	chrUn_NW_016794208v1
Scaffold107012	chrUn_NW_016794209v1
Scaffold107013	chrUn_NW_016794210v1
Scaffold107014	chrUn_NW_016794211v1
Scaffold107015	chrUn_NW_016794212v1
Scaffold107016	chrUn_NW_016794213v1
Scaffold107017	chrUn_NW_016794214v1
Scaffold107018	chrUn_NW_016794215v1
Scaffold107019	chrUn_NW_016794216v1
Scaffold10702	chrUn_NW_016704673v1
Scaffold107020	chrUn_NW_016794217v1
Scaffold107021	chrUn_NW_016794218v1
Scaffold107022	chrUn_NW_016794219v1
Scaffold107023	chrUn_NW_016794220v1
Scaffold107024	chrUn_NW_016794221v1
Scaffold107025	chrUn_NW_016794222v1
Scaffold107026	chrUn_NW_016794223v1
Scaffold107027	chrUn_NW_016794224v1
Scaffold107028	chrUn_NW_016794225v1
Scaffold107029	chrUn_NW_016794226v1
Scaffold107030	chrUn_NW_016794227v1
Scaffold107031	chrUn_NW_016794228v1
Scaffold107032	chrUn_NW_016794229v1
Scaffold107033	chrUn_NW_016794230v1
Scaffold107034	chrUn_NW_016794231v1
Scaffold107035	chrUn_NW_016794232v1
Scaffold107036	chrUn_NW_016794233v1
Scaffold107037	chrUn_NW_016794234v1
Scaffold107038	chrUn_NW_016794235v1
Scaffold107039	chrUn_NW_016794236v1
Scaffold10704	chrUn_NW_016704674v1
Scaffold107040	chrUn_NW_016794237v1
Scaffold107041	chrUn_NW_016794238v1
Scaffold107042	chrUn_NW_016794239v1
Scaffold107043	chrUn_NW_016794240v1
Scaffold107044	chrUn_NW_016794241v1
Scaffold107045	chrUn_NW_016794242v1
Scaffold107046	chrUn_NW_016794243v1
Scaffold107047	chrUn_NW_016794244v1
Scaffold107048	chrUn_NW_016794245v1
Scaffold107049	chrUn_NW_016794246v1
Scaffold10705	chrUn_NW_016704675v1
Scaffold107050	chrUn_NW_016794247v1
Scaffold107051	chrUn_NW_016794248v1
Scaffold107052	chrUn_NW_016794249v1
Scaffold107053	chrUn_NW_016794250v1
Scaffold107054	chrUn_NW_016794251v1
Scaffold107055	chrUn_NW_016794252v1
Scaffold107056	chrUn_NW_016794253v1
Scaffold107057	chrUn_NW_016794254v1
Scaffold107058	chrUn_NW_016794255v1
Scaffold107059	chrUn_NW_016794256v1
Scaffold10706	chrUn_NW_016704676v1
Scaffold107060	chrUn_NW_016794257v1
Scaffold107061	chrUn_NW_016794258v1
Scaffold107062	chrUn_NW_016794259v1
Scaffold107063	chrUn_NW_016794260v1
Scaffold107064	chrUn_NW_016794261v1
Scaffold107065	chrUn_NW_016794262v1
Scaffold107066	chrUn_NW_016794263v1
Scaffold107067	chrUn_NW_016794264v1
Scaffold107068	chrUn_NW_016794265v1
Scaffold107069	chrUn_NW_016794266v1
Scaffold10707	chrUn_NW_016704677v1
Scaffold107070	chrUn_NW_016794267v1
Scaffold107071	chrUn_NW_016794268v1
Scaffold107072	chrUn_NW_016794269v1
Scaffold107073	chrUn_NW_016794270v1
Scaffold107074	chrUn_NW_016794271v1
Scaffold107075	chrUn_NW_016794272v1
Scaffold107076	chrUn_NW_016794273v1
Scaffold107077	chrUn_NW_016794274v1
Scaffold107078	chrUn_NW_016794275v1
Scaffold107079	chrUn_NW_016794276v1
Scaffold10708	chrUn_NW_016704678v1
Scaffold107080	chrUn_NW_016794277v1
Scaffold107081	chrUn_NW_016794278v1
Scaffold107082	chrUn_NW_016794279v1
Scaffold107083	chrUn_NW_016794280v1
Scaffold107084	chrUn_NW_016794281v1
Scaffold107085	chrUn_NW_016794282v1
Scaffold107086	chrUn_NW_016794283v1
Scaffold107087	chrUn_NW_016794284v1
Scaffold107088	chrUn_NW_016794285v1
Scaffold107089	chrUn_NW_016794286v1
Scaffold10709	chrUn_NW_016704679v1
Scaffold107090	chrUn_NW_016794287v1
Scaffold107091	chrUn_NW_016794288v1
Scaffold107092	chrUn_NW_016794289v1
Scaffold107093	chrUn_NW_016794290v1
Scaffold107094	chrUn_NW_016794291v1
Scaffold107095	chrUn_NW_016794292v1
Scaffold107096	chrUn_NW_016794293v1
Scaffold107097	chrUn_NW_016794294v1
Scaffold107098	chrUn_NW_016794295v1
Scaffold107099	chrUn_NW_016794296v1
Scaffold1071	chrUn_NW_016695846v1
Scaffold10710	chrUn_NW_016704680v1
Scaffold107100	chrUn_NW_016794297v1
Scaffold107101	chrUn_NW_016794298v1
Scaffold107102	chrUn_NW_016794299v1
Scaffold107103	chrUn_NW_016794300v1
Scaffold107104	chrUn_NW_016794301v1
Scaffold107105	chrUn_NW_016794302v1
Scaffold107106	chrUn_NW_016794303v1
Scaffold107107	chrUn_NW_016794304v1
Scaffold107108	chrUn_NW_016794305v1
Scaffold107109	chrUn_NW_016794306v1
Scaffold10711	chrUn_NW_016704681v1
Scaffold107110	chrUn_NW_016794307v1
Scaffold107111	chrUn_NW_016794308v1
Scaffold107112	chrUn_NW_016794309v1
Scaffold107113	chrUn_NW_016794310v1
Scaffold107114	chrUn_NW_016794311v1
Scaffold107115	chrUn_NW_016794312v1
Scaffold107116	chrUn_NW_016794313v1
Scaffold107117	chrUn_NW_016794314v1
Scaffold107118	chrUn_NW_016794315v1
Scaffold107119	chrUn_NW_016794316v1
Scaffold10712	chrUn_NW_016704682v1
Scaffold107120	chrUn_NW_016794317v1
Scaffold107121	chrUn_NW_016794318v1
Scaffold107122	chrUn_NW_016794319v1
Scaffold107123	chrUn_NW_016794320v1
Scaffold107124	chrUn_NW_016794321v1
Scaffold107125	chrUn_NW_016794322v1
Scaffold107126	chrUn_NW_016794323v1
Scaffold107127	chrUn_NW_016794324v1
Scaffold107128	chrUn_NW_016794325v1
Scaffold107129	chrUn_NW_016794326v1
Scaffold10713	chrUn_NW_016704683v1
Scaffold107130	chrUn_NW_016794327v1
Scaffold107131	chrUn_NW_016794328v1
Scaffold107132	chrUn_NW_016794329v1
Scaffold107133	chrUn_NW_016794330v1
Scaffold107134	chrUn_NW_016794331v1
Scaffold107135	chrUn_NW_016794332v1
Scaffold107136	chrUn_NW_016794333v1
Scaffold107137	chrUn_NW_016794334v1
Scaffold107138	chrUn_NW_016794335v1
Scaffold107139	chrUn_NW_016794336v1
Scaffold10714	chrUn_NW_016704684v1
Scaffold107140	chrUn_NW_016794337v1
Scaffold107141	chrUn_NW_016794338v1
Scaffold107142	chrUn_NW_016794339v1
Scaffold107143	chrUn_NW_016794340v1
Scaffold107144	chrUn_NW_016794341v1
Scaffold107145	chrUn_NW_016794342v1
Scaffold107146	chrUn_NW_016794343v1
Scaffold107147	chrUn_NW_016794344v1
Scaffold107148	chrUn_NW_016794345v1
Scaffold107149	chrUn_NW_016794346v1
Scaffold10715	chrUn_NW_016704685v1
Scaffold107150	chrUn_NW_016794347v1
Scaffold107151	chrUn_NW_016794348v1
Scaffold107152	chrUn_NW_016794349v1
Scaffold107153	chrUn_NW_016794350v1
Scaffold107154	chrUn_NW_016794351v1
Scaffold107155	chrUn_NW_016794352v1
Scaffold107156	chrUn_NW_016794353v1
Scaffold107157	chrUn_NW_016794354v1
Scaffold107158	chrUn_NW_016794355v1
Scaffold107159	chrUn_NW_016794356v1
Scaffold10716	chrUn_NW_016704686v1
Scaffold107160	chrUn_NW_016794357v1
Scaffold107161	chrUn_NW_016794358v1
Scaffold107162	chrUn_NW_016794359v1
Scaffold107163	chrUn_NW_016794360v1
Scaffold107164	chrUn_NW_016794361v1
Scaffold107165	chrUn_NW_016794362v1
Scaffold107166	chrUn_NW_016794363v1
Scaffold107167	chrUn_NW_016794364v1
Scaffold107168	chrUn_NW_016794365v1
Scaffold107169	chrUn_NW_016794366v1
Scaffold107170	chrUn_NW_016794367v1
Scaffold107171	chrUn_NW_016794368v1
Scaffold107172	chrUn_NW_016794369v1
Scaffold107173	chrUn_NW_016794370v1
Scaffold107174	chrUn_NW_016794371v1
Scaffold107175	chrUn_NW_016794372v1
Scaffold107176	chrUn_NW_016794373v1
Scaffold107177	chrUn_NW_016794374v1
Scaffold107178	chrUn_NW_016794375v1
Scaffold107179	chrUn_NW_016794376v1
Scaffold10718	chrUn_NW_016704687v1
Scaffold107180	chrUn_NW_016794377v1
Scaffold107181	chrUn_NW_016794378v1
Scaffold107182	chrUn_NW_016794379v1
Scaffold107183	chrUn_NW_016794380v1
Scaffold107184	chrUn_NW_016794381v1
Scaffold107185	chrUn_NW_016794382v1
Scaffold107186	chrUn_NW_016794383v1
Scaffold107187	chrUn_NW_016794384v1
Scaffold107188	chrUn_NW_016794385v1
Scaffold107189	chrUn_NW_016794386v1
Scaffold10719	chrUn_NW_016704688v1
Scaffold107190	chrUn_NW_016794387v1
Scaffold107191	chrUn_NW_016794388v1
Scaffold107192	chrUn_NW_016794389v1
Scaffold107193	chrUn_NW_016794390v1
Scaffold107194	chrUn_NW_016794391v1
Scaffold107195	chrUn_NW_016794392v1
Scaffold107196	chrUn_NW_016794393v1
Scaffold107197	chrUn_NW_016794394v1
Scaffold107198	chrUn_NW_016794395v1
Scaffold107199	chrUn_NW_016794396v1
Scaffold1072	chrUn_NW_016695847v1
Scaffold10720	chrUn_NW_016704689v1
Scaffold107200	chrUn_NW_016794397v1
Scaffold107201	chrUn_NW_016794398v1
Scaffold107202	chrUn_NW_016794399v1
Scaffold107203	chrUn_NW_016794400v1
Scaffold107204	chrUn_NW_016794401v1
Scaffold107205	chrUn_NW_016794402v1
Scaffold107206	chrUn_NW_016794403v1
Scaffold107207	chrUn_NW_016794404v1
Scaffold107208	chrUn_NW_016794405v1
Scaffold107209	chrUn_NW_016794406v1
Scaffold10721	chrUn_NW_016704690v1
Scaffold107210	chrUn_NW_016794407v1
Scaffold107211	chrUn_NW_016794408v1
Scaffold107212	chrUn_NW_016794409v1
Scaffold107213	chrUn_NW_016794410v1
Scaffold107214	chrUn_NW_016794411v1
Scaffold107215	chrUn_NW_016794412v1
Scaffold107216	chrUn_NW_016794413v1
Scaffold107218	chrUn_NW_016794414v1
Scaffold107219	chrUn_NW_016794415v1
Scaffold107220	chrUn_NW_016794416v1
Scaffold107221	chrUn_NW_016794417v1
Scaffold107222	chrUn_NW_016794418v1
Scaffold107223	chrUn_NW_016794419v1
Scaffold107224	chrUn_NW_016794420v1
Scaffold107226	chrUn_NW_016794421v1
Scaffold107227	chrUn_NW_016794422v1
Scaffold107228	chrUn_NW_016794423v1
Scaffold107229	chrUn_NW_016794424v1
Scaffold10723	chrUn_NW_016704691v1
Scaffold107230	chrUn_NW_016794425v1
Scaffold107231	chrUn_NW_016794426v1
Scaffold107232	chrUn_NW_016794427v1
Scaffold107233	chrUn_NW_016794428v1
Scaffold107234	chrUn_NW_016794429v1
Scaffold107235	chrUn_NW_016794430v1
Scaffold107236	chrUn_NW_016794431v1
Scaffold107237	chrUn_NW_016794432v1
Scaffold107238	chrUn_NW_016794433v1
Scaffold107239	chrUn_NW_016794434v1
Scaffold10724	chrUn_NW_016704692v1
Scaffold107240	chrUn_NW_016794435v1
Scaffold107241	chrUn_NW_016794436v1
Scaffold107242	chrUn_NW_016794437v1
Scaffold107243	chrUn_NW_016794438v1
Scaffold107244	chrUn_NW_016794439v1
Scaffold107245	chrUn_NW_016794440v1
Scaffold107246	chrUn_NW_016794441v1
Scaffold107247	chrUn_NW_016794442v1
Scaffold107248	chrUn_NW_016794443v1
Scaffold107249	chrUn_NW_016794444v1
Scaffold10725	chrUn_NW_016704693v1
Scaffold107250	chrUn_NW_016794445v1
Scaffold107251	chrUn_NW_016794446v1
Scaffold107252	chrUn_NW_016794447v1
Scaffold107253	chrUn_NW_016794448v1
Scaffold107254	chrUn_NW_016794449v1
Scaffold107255	chrUn_NW_016794450v1
Scaffold107256	chrUn_NW_016794451v1
Scaffold107257	chrUn_NW_016794452v1
Scaffold107258	chrUn_NW_016794453v1
