Chr01	chr1
scaffold_3334	chrUn_NW_016685685v1
scaffold_3336	chrUn_NW_016685686v1
scaffold_3338	chrUn_NW_016685687v1
scaffold_3339	chrUn_NW_016685688v1
scaffold_3340	chrUn_NW_016685689v1
scaffold_3341	chrUn_NW_016685690v1
scaffold_3342	chrUn_NW_016685691v1
scaffold_3343	chrUn_NW_016685692v1
scaffold_3345	chrUn_NW_016685693v1
scaffold_3347	chrUn_NW_016685694v1
scaffold_3348	chrUn_NW_016685695v1
scaffold_335	chrUn_NW_016683604v1
scaffold_3350	chrUn_NW_016685696v1
scaffold_3351	chrUn_NW_016685697v1
scaffold_3352	chrUn_NW_016685698v1
scaffold_3353	chrUn_NW_016685699v1
scaffold_3354	chrUn_NW_016685700v1
scaffold_3355	chrUn_NW_016685701v1
scaffold_3356	chrUn_NW_016685702v1
scaffold_3358	chrUn_NW_016685703v1
scaffold_3359	chrUn_NW_016685704v1
scaffold_336	chrUn_NW_016683605v1
scaffold_3360	chrUn_NW_016685705v1
scaffold_3362	chrUn_NW_016685706v1
scaffold_3364	chrUn_NW_016685707v1
scaffold_3365	chrUn_NW_016685708v1
scaffold_3367	chrUn_NW_016685709v1
scaffold_3369	chrUn_NW_016685710v1
scaffold_337	chrUn_NW_016683606v1
scaffold_3373	chrUn_NW_016685711v1
scaffold_3376	chrUn_NW_016685712v1
scaffold_3378	chrUn_NW_016685713v1
scaffold_3379	chrUn_NW_016685714v1
scaffold_338	chrUn_NW_016683607v1
scaffold_3382	chrUn_NW_016685715v1
scaffold_3383	chrUn_NW_016685716v1
scaffold_3384	chrUn_NW_016685717v1
scaffold_3385	chrUn_NW_016685718v1
scaffold_3387	chrUn_NW_016685719v1
scaffold_3388	chrUn_NW_016685720v1
scaffold_3389	chrUn_NW_016685721v1
scaffold_3390	chrUn_NW_016685722v1
scaffold_3391	chrUn_NW_016685723v1
scaffold_3393	chrUn_NW_016685724v1
scaffold_3394	chrUn_NW_016685725v1
scaffold_3395	chrUn_NW_016685726v1
scaffold_3396	chrUn_NW_016685727v1
scaffold_3399	chrUn_NW_016685728v1
scaffold_340	chrUn_NW_016683608v1
scaffold_3400	chrUn_NW_016685729v1
scaffold_3401	chrUn_NW_016685730v1
scaffold_3403	chrUn_NW_016685731v1
scaffold_3404	chrUn_NW_016685732v1
scaffold_3405	chrUn_NW_016685733v1
scaffold_3407	chrUn_NW_016685734v1
scaffold_3409	chrUn_NW_016685735v1
scaffold_341	chrUn_NW_016683609v1
scaffold_3413	chrUn_NW_016685736v1
scaffold_3414	chrUn_NW_016685737v1
scaffold_3415	chrUn_NW_016685738v1
scaffold_3416	chrUn_NW_016685739v1
scaffold_3417	chrUn_NW_016685740v1
scaffold_3418	chrUn_NW_016685741v1
scaffold_3419	chrUn_NW_016685742v1
scaffold_342	chrUn_NW_016683610v1
scaffold_3421	chrUn_NW_016685743v1
scaffold_3422	chrUn_NW_016685744v1
scaffold_3423	chrUn_NW_016685745v1
scaffold_3425	chrUn_NW_016685746v1
scaffold_3427	chrUn_NW_016685747v1
scaffold_3428	chrUn_NW_016685748v1
scaffold_3429	chrUn_NW_016685749v1
scaffold_3430	chrUn_NW_016685750v1
scaffold_3431	chrUn_NW_016685751v1
scaffold_3432	chrUn_NW_016685752v1
scaffold_3433	chrUn_NW_016685753v1
scaffold_3434	chrUn_NW_016685754v1
scaffold_3435	chrUn_NW_016685755v1
scaffold_3437	chrUn_NW_016685756v1
scaffold_3438	chrUn_NW_016685757v1
scaffold_3439	chrUn_NW_016685758v1
scaffold_344	chrUn_NW_016683611v1
scaffold_3440	chrUn_NW_016685759v1
scaffold_3441	chrUn_NW_016685760v1
scaffold_3442	chrUn_NW_016685761v1
scaffold_3443	chrUn_NW_016685762v1
scaffold_3444	chrUn_NW_016685763v1
scaffold_3446	chrUn_NW_016685764v1
scaffold_3448	chrUn_NW_016685765v1
scaffold_3449	chrUn_NW_016685766v1
scaffold_345	chrUn_NW_016683612v1
scaffold_3450	chrUn_NW_016685767v1
scaffold_3451	chrUn_NW_016685768v1
scaffold_3453	chrUn_NW_016685769v1
scaffold_3454	chrUn_NW_016685770v1
scaffold_3456	chrUn_NW_016685771v1
scaffold_3457	chrUn_NW_016685772v1
scaffold_3458	chrUn_NW_016685773v1
scaffold_3459	chrUn_NW_016685774v1
scaffold_346	chrUn_NW_016683613v1
scaffold_3460	chrUn_NW_016685775v1
scaffold_3461	chrUn_NW_016685776v1
scaffold_3462	chrUn_NW_016685777v1
scaffold_3463	chrUn_NW_016685778v1
scaffold_3468	chrUn_NW_016685779v1
scaffold_3469	chrUn_NW_016685780v1
scaffold_347	chrUn_NW_016683614v1
scaffold_3471	chrUn_NW_016685781v1
scaffold_3472	chrUn_NW_016685782v1
scaffold_3476	chrUn_NW_016685783v1
scaffold_3477	chrUn_NW_016685784v1
scaffold_3479	chrUn_NW_016685785v1
scaffold_348	chrUn_NW_016683615v1
scaffold_3480	chrUn_NW_016685786v1
scaffold_3481	chrUn_NW_016685787v1
scaffold_3482	chrUn_NW_016685788v1
scaffold_3483	chrUn_NW_016685789v1
scaffold_3484	chrUn_NW_016685790v1
scaffold_3485	chrUn_NW_016685791v1
scaffold_3489	chrUn_NW_016685792v1
scaffold_3490	chrUn_NW_016685793v1
scaffold_3491	chrUn_NW_016685794v1
scaffold_3492	chrUn_NW_016685795v1
scaffold_3493	chrUn_NW_016685796v1
scaffold_3494	chrUn_NW_016685797v1
scaffold_3495	chrUn_NW_016685798v1
scaffold_3498	chrUn_NW_016685799v1
scaffold_3499	chrUn_NW_016685800v1
scaffold_350	chrUn_NW_016683616v1
scaffold_3501	chrUn_NW_016685801v1
scaffold_3502	chrUn_NW_016685802v1
scaffold_3503	chrUn_NW_016685803v1
scaffold_3504	chrUn_NW_016685804v1
scaffold_3506	chrUn_NW_016685805v1
scaffold_3507	chrUn_NW_016685806v1
scaffold_3508	chrUn_NW_016685807v1
scaffold_351	chrUn_NW_016683617v1
scaffold_3510	chrUn_NW_016685808v1
scaffold_3511	chrUn_NW_016685809v1
scaffold_3512	chrUn_NW_016685810v1
scaffold_3513	chrUn_NW_016685811v1
scaffold_3515	chrUn_NW_016685812v1
scaffold_3516	chrUn_NW_016685813v1
scaffold_3518	chrUn_NW_016685814v1
scaffold_3519	chrUn_NW_016685815v1
scaffold_352	chrUn_NW_016683618v1
scaffold_3520	chrUn_NW_016685816v1
scaffold_3521	chrUn_NW_016685817v1
scaffold_3524	chrUn_NW_016685818v1
scaffold_3525	chrUn_NW_016685819v1
scaffold_3526	chrUn_NW_016685820v1
scaffold_3527	chrUn_NW_016685821v1
scaffold_3528	chrUn_NW_016685822v1
scaffold_353	chrUn_NW_016683619v1
scaffold_3530	chrUn_NW_016685823v1
scaffold_3531	chrUn_NW_016685824v1
scaffold_3533	chrUn_NW_016685825v1
scaffold_3534	chrUn_NW_016685826v1
scaffold_3536	chrUn_NW_016685827v1
scaffold_3537	chrUn_NW_016685828v1
scaffold_3539	chrUn_NW_016685829v1
scaffold_3540	chrUn_NW_016685830v1
scaffold_3541	chrUn_NW_016685831v1
scaffold_3544	chrUn_NW_016685832v1
scaffold_3546	chrUn_NW_016685833v1
scaffold_3547	chrUn_NW_016685834v1
scaffold_3548	chrUn_NW_016685835v1
scaffold_3549	chrUn_NW_016685836v1
scaffold_355	chrUn_NW_016683620v1
scaffold_3553	chrUn_NW_016685837v1
scaffold_3554	chrUn_NW_016685838v1
scaffold_3555	chrUn_NW_016685839v1
scaffold_3557	chrUn_NW_016685840v1
scaffold_356	chrUn_NW_016683621v1
scaffold_3560	chrUn_NW_016685841v1
scaffold_3563	chrUn_NW_016685842v1
scaffold_3566	chrUn_NW_016685843v1
scaffold_3567	chrUn_NW_016685844v1
scaffold_3568	chrUn_NW_016685845v1
scaffold_3569	chrUn_NW_016685846v1
scaffold_357	chrUn_NW_016683622v1
scaffold_3570	chrUn_NW_016685847v1
scaffold_3572	chrUn_NW_016685848v1
scaffold_3573	chrUn_NW_016685849v1
scaffold_3574	chrUn_NW_016685850v1
scaffold_3575	chrUn_NW_016685851v1
scaffold_3577	chrUn_NW_016685852v1
scaffold_3578	chrUn_NW_016685853v1
scaffold_3579	chrUn_NW_016685854v1
scaffold_3580	chrUn_NW_016685855v1
scaffold_3581	chrUn_NW_016685856v1
scaffold_3583	chrUn_NW_016685857v1
scaffold_3584	chrUn_NW_016685858v1
scaffold_3585	chrUn_NW_016685859v1
scaffold_3587	chrUn_NW_016685860v1
scaffold_3589	chrUn_NW_016685861v1
scaffold_359	chrUn_NW_016683623v1
scaffold_3590	chrUn_NW_016685862v1
scaffold_3592	chrUn_NW_016685863v1
scaffold_3593	chrUn_NW_016685864v1
scaffold_3594	chrUn_NW_016685865v1
scaffold_3596	chrUn_NW_016685866v1
scaffold_3598	chrUn_NW_016685867v1
scaffold_3599	chrUn_NW_016685868v1
scaffold_36	chrUn_NW_016683383v1
scaffold_360	chrUn_NW_016683624v1
scaffold_3601	chrUn_NW_016685869v1
scaffold_3602	chrUn_NW_016685870v1
scaffold_3603	chrUn_NW_016685871v1
scaffold_3604	chrUn_NW_016685872v1
scaffold_3605	chrUn_NW_016685873v1
scaffold_3607	chrUn_NW_016685874v1
scaffold_3608	chrUn_NW_016685875v1
scaffold_361	chrUn_NW_016683625v1
scaffold_3611	chrUn_NW_016685876v1
scaffold_3612	chrUn_NW_016685877v1
scaffold_3613	chrUn_NW_016685878v1
scaffold_3614	chrUn_NW_016685879v1
scaffold_3615	chrUn_NW_016685880v1
scaffold_3616	chrUn_NW_016685881v1
scaffold_3617	chrUn_NW_016685882v1
scaffold_3618	chrUn_NW_016685883v1
scaffold_362	chrUn_NW_016683626v1
scaffold_3620	chrUn_NW_016685884v1
scaffold_3621	chrUn_NW_016685885v1
scaffold_3623	chrUn_NW_016685886v1
scaffold_3624	chrUn_NW_016685887v1
scaffold_3625	chrUn_NW_016685888v1
scaffold_3627	chrUn_NW_016685889v1
scaffold_3628	chrUn_NW_016685890v1
scaffold_363	chrUn_NW_016683627v1
scaffold_3631	chrUn_NW_016685891v1
scaffold_3632	chrUn_NW_016685892v1
scaffold_3633	chrUn_NW_016685893v1
scaffold_3635	chrUn_NW_016685894v1
scaffold_3637	chrUn_NW_016685895v1
scaffold_3638	chrUn_NW_016685896v1
scaffold_3639	chrUn_NW_016685897v1
scaffold_3640	chrUn_NW_016685898v1
scaffold_3641	chrUn_NW_016685899v1
scaffold_3644	chrUn_NW_016685900v1
scaffold_3645	chrUn_NW_016685901v1
scaffold_3648	chrUn_NW_016685902v1
scaffold_365	chrUn_NW_016683628v1
scaffold_3650	chrUn_NW_016685903v1
scaffold_3651	chrUn_NW_016685904v1
scaffold_3652	chrUn_NW_016685905v1
scaffold_3653	chrUn_NW_016685906v1
scaffold_3654	chrUn_NW_016685907v1
scaffold_3655	chrUn_NW_016685908v1
scaffold_3656	chrUn_NW_016685909v1
scaffold_3660	chrUn_NW_016685910v1
scaffold_3663	chrUn_NW_016685911v1
scaffold_3664	chrUn_NW_016685912v1
scaffold_3665	chrUn_NW_016685913v1
scaffold_3666	chrUn_NW_016685914v1
scaffold_3668	chrUn_NW_016685915v1
scaffold_367	chrUn_NW_016683629v1
scaffold_3670	chrUn_NW_016685916v1
scaffold_3671	chrUn_NW_016685917v1
scaffold_3673	chrUn_NW_016685918v1
scaffold_3674	chrUn_NW_016685919v1
scaffold_3678	chrUn_NW_016685920v1
scaffold_3679	chrUn_NW_016685921v1
scaffold_368	chrUn_NW_016683630v1
scaffold_3681	chrUn_NW_016685922v1
scaffold_3683	chrUn_NW_016685923v1
scaffold_3684	chrUn_NW_016685924v1
scaffold_3685	chrUn_NW_016685925v1
scaffold_3687	chrUn_NW_016685926v1
scaffold_3688	chrUn_NW_016685927v1
scaffold_3689	chrUn_NW_016685928v1
scaffold_369	chrUn_NW_016683631v1
scaffold_3690	chrUn_NW_016685929v1
scaffold_3691	chrUn_NW_016685930v1
scaffold_3692	chrUn_NW_016685931v1
scaffold_3693	chrUn_NW_016685932v1
scaffold_3695	chrUn_NW_016685933v1
scaffold_3696	chrUn_NW_016685934v1
scaffold_3697	chrUn_NW_016685935v1
scaffold_3698	chrUn_NW_016685936v1
scaffold_3699	chrUn_NW_016685937v1
scaffold_37	chrUn_NW_016683384v1
scaffold_370	chrUn_NW_016683632v1
scaffold_3702	chrUn_NW_016685938v1
scaffold_3703	chrUn_NW_016685939v1
scaffold_3704	chrUn_NW_016685940v1
scaffold_3705	chrUn_NW_016685941v1
scaffold_3706	chrUn_NW_016685942v1
scaffold_3707	chrUn_NW_016685943v1
scaffold_3708	chrUn_NW_016685944v1
scaffold_371	chrUn_NW_016683633v1
scaffold_3711	chrUn_NW_016685945v1
scaffold_3712	chrUn_NW_016685946v1
scaffold_3715	chrUn_NW_016685947v1
scaffold_3716	chrUn_NW_016685948v1
scaffold_3717	chrUn_NW_016685949v1
scaffold_3718	chrUn_NW_016685950v1
scaffold_3719	chrUn_NW_016685951v1
scaffold_372	chrUn_NW_016683634v1
scaffold_3720	chrUn_NW_016685952v1
scaffold_3721	chrUn_NW_016685953v1
scaffold_3722	chrUn_NW_016685954v1
scaffold_3723	chrUn_NW_016685955v1
scaffold_3726	chrUn_NW_016685956v1
scaffold_3727	chrUn_NW_016685957v1
scaffold_3728	chrUn_NW_016685958v1
scaffold_3729	chrUn_NW_016685959v1
scaffold_3731	chrUn_NW_016685960v1
scaffold_3733	chrUn_NW_016685961v1
scaffold_3734	chrUn_NW_016685962v1
scaffold_3735	chrUn_NW_016685963v1
scaffold_3738	chrUn_NW_016685964v1
scaffold_3739	chrUn_NW_016685965v1
scaffold_374	chrUn_NW_016683635v1
scaffold_3740	chrUn_NW_016685966v1
scaffold_3741	chrUn_NW_016685967v1
scaffold_3742	chrUn_NW_016685968v1
scaffold_3743	chrUn_NW_016685969v1
scaffold_3744	chrUn_NW_016685970v1
scaffold_3746	chrUn_NW_016685971v1
scaffold_3747	chrUn_NW_016685972v1
scaffold_3749	chrUn_NW_016685973v1
scaffold_375	chrUn_NW_016683636v1
scaffold_3750	chrUn_NW_016685974v1
scaffold_3751	chrUn_NW_016685975v1
scaffold_3752	chrUn_NW_016685976v1
scaffold_3754	chrUn_NW_016685977v1
scaffold_3755	chrUn_NW_016685978v1
scaffold_3756	chrUn_NW_016685979v1
scaffold_3759	chrUn_NW_016685980v1
scaffold_376	chrUn_NW_016683637v1
scaffold_3760	chrUn_NW_016685981v1
scaffold_3762	chrUn_NW_016685982v1
scaffold_3763	chrUn_NW_016685983v1
scaffold_3764	chrUn_NW_016685984v1
scaffold_3765	chrUn_NW_016685985v1
scaffold_3766	chrUn_NW_016685986v1
scaffold_3768	chrUn_NW_016685987v1
scaffold_3769	chrUn_NW_016685988v1
scaffold_3770	chrUn_NW_016685989v1
scaffold_3771	chrUn_NW_016685990v1
scaffold_3773	chrUn_NW_016685991v1
scaffold_3774	chrUn_NW_016685992v1
scaffold_3775	chrUn_NW_016685993v1
scaffold_3776	chrUn_NW_016685994v1
scaffold_3777	chrUn_NW_016685995v1
scaffold_3778	chrUn_NW_016685996v1
scaffold_3779	chrUn_NW_016685997v1
scaffold_378	chrUn_NW_016683638v1
scaffold_3780	chrUn_NW_016685998v1
scaffold_3781	chrUn_NW_016685999v1
scaffold_3783	chrUn_NW_016686000v1
scaffold_3785	chrUn_NW_016686001v1
scaffold_3786	chrUn_NW_016686002v1
scaffold_3787	chrUn_NW_016686003v1
scaffold_3788	chrUn_NW_016686004v1
scaffold_3789	chrUn_NW_016686005v1
scaffold_379	chrUn_NW_016683639v1
scaffold_3793	chrUn_NW_016686006v1
scaffold_3794	chrUn_NW_016686007v1
scaffold_3795	chrUn_NW_016686008v1
scaffold_3796	chrUn_NW_016686009v1
scaffold_3797	chrUn_NW_016686010v1
scaffold_3798	chrUn_NW_016686011v1
scaffold_38	chrUn_NW_016683385v1
scaffold_380	chrUn_NW_016683640v1
scaffold_3800	chrUn_NW_016686012v1
scaffold_3801	chrUn_NW_016686013v1
scaffold_3802	chrUn_NW_016686014v1
scaffold_3803	chrUn_NW_016686015v1
scaffold_3805	chrUn_NW_016686016v1
scaffold_3807	chrUn_NW_016686017v1
scaffold_3808	chrUn_NW_016686018v1
scaffold_381	chrUn_NW_016683641v1
scaffold_3810	chrUn_NW_016686019v1
scaffold_3811	chrUn_NW_016686020v1
scaffold_3812	chrUn_NW_016686021v1
scaffold_3816	chrUn_NW_016686022v1
scaffold_3817	chrUn_NW_016686023v1
scaffold_3818	chrUn_NW_016686024v1
scaffold_3820	chrUn_NW_016686025v1
scaffold_3821	chrUn_NW_016686026v1
scaffold_3825	chrUn_NW_016686027v1
scaffold_3826	chrUn_NW_016686028v1
scaffold_3828	chrUn_NW_016686029v1
scaffold_383	chrUn_NW_016683642v1
scaffold_3830	chrUn_NW_016686030v1
scaffold_3831	chrUn_NW_016686031v1
scaffold_3832	chrUn_NW_016686032v1
scaffold_3833	chrUn_NW_016686033v1
scaffold_3835	chrUn_NW_016686034v1
scaffold_3836	chrUn_NW_016686035v1
scaffold_3837	chrUn_NW_016686036v1
scaffold_3838	chrUn_NW_016686037v1
scaffold_3839	chrUn_NW_016686038v1
scaffold_384	chrUn_NW_016683643v1
scaffold_3840	chrUn_NW_016686039v1
scaffold_3841	chrUn_NW_016686040v1
scaffold_3842	chrUn_NW_016686041v1
scaffold_3843	chrUn_NW_016686042v1
scaffold_3845	chrUn_NW_016686043v1
scaffold_3846	chrUn_NW_016686044v1
scaffold_3849	chrUn_NW_016686045v1
scaffold_385	chrUn_NW_016683644v1
scaffold_3850	chrUn_NW_016686046v1
scaffold_3851	chrUn_NW_016686047v1
scaffold_3852	chrUn_NW_016686048v1
scaffold_3853	chrUn_NW_016686049v1
scaffold_3854	chrUn_NW_016686050v1
scaffold_3855	chrUn_NW_016686051v1
scaffold_3856	chrUn_NW_016686052v1
scaffold_3857	chrUn_NW_016686053v1
scaffold_3859	chrUn_NW_016686054v1
scaffold_386	chrUn_NW_016683645v1
scaffold_3860	chrUn_NW_016686055v1
scaffold_3861	chrUn_NW_016686056v1
scaffold_3864	chrUn_NW_016686057v1
scaffold_3865	chrUn_NW_016686058v1
scaffold_3867	chrUn_NW_016686059v1
scaffold_3868	chrUn_NW_016686060v1
scaffold_3869	chrUn_NW_016686061v1
scaffold_387	chrUn_NW_016683646v1
scaffold_3871	chrUn_NW_016686062v1
scaffold_3872	chrUn_NW_016686063v1
scaffold_3874	chrUn_NW_016686064v1
scaffold_3875	chrUn_NW_016686065v1
scaffold_3876	chrUn_NW_016686066v1
scaffold_3877	chrUn_NW_016686067v1
scaffold_3878	chrUn_NW_016686068v1
scaffold_3880	chrUn_NW_016686069v1
scaffold_3882	chrUn_NW_016686070v1
scaffold_3884	chrUn_NW_016686071v1
scaffold_3885	chrUn_NW_016686072v1
scaffold_3886	chrUn_NW_016686073v1
scaffold_3887	chrUn_NW_016686074v1
scaffold_3888	chrUn_NW_016686075v1
scaffold_3889	chrUn_NW_016686076v1
scaffold_389	chrUn_NW_016683647v1
scaffold_3891	chrUn_NW_016686077v1
scaffold_3892	chrUn_NW_016686078v1
scaffold_3893	chrUn_NW_016686079v1
scaffold_3895	chrUn_NW_016686080v1
scaffold_3896	chrUn_NW_016686081v1
scaffold_3898	chrUn_NW_016686082v1
scaffold_3899	chrUn_NW_016686083v1
scaffold_39	chrUn_NW_016683386v1
scaffold_390	chrUn_NW_016683648v1
scaffold_3900	chrUn_NW_016686084v1
scaffold_3901	chrUn_NW_016686085v1
scaffold_3902	chrUn_NW_016686086v1
scaffold_3903	chrUn_NW_016686087v1
scaffold_3904	chrUn_NW_016686088v1
scaffold_3905	chrUn_NW_016686089v1
scaffold_3906	chrUn_NW_016686090v1
scaffold_3907	chrUn_NW_016686091v1
scaffold_3908	chrUn_NW_016686092v1
scaffold_3911	chrUn_NW_016686093v1
scaffold_3912	chrUn_NW_016686094v1
scaffold_3915	chrUn_NW_016686095v1
scaffold_3917	chrUn_NW_016686096v1
scaffold_3919	chrUn_NW_016686097v1
scaffold_392	chrUn_NW_016683649v1
scaffold_3920	chrUn_NW_016686098v1
scaffold_3921	chrUn_NW_016686099v1
scaffold_3922	chrUn_NW_016686100v1
scaffold_3923	chrUn_NW_016686101v1
scaffold_3925	chrUn_NW_016686102v1
scaffold_3926	chrUn_NW_016686103v1
scaffold_3927	chrUn_NW_016686104v1
scaffold_3928	chrUn_NW_016686105v1
scaffold_3929	chrUn_NW_016686106v1
scaffold_393	chrUn_NW_016683650v1
scaffold_3930	chrUn_NW_016686107v1
scaffold_3931	chrUn_NW_016686108v1
scaffold_3932	chrUn_NW_016686109v1
scaffold_3935	chrUn_NW_016686110v1
scaffold_3938	chrUn_NW_016686111v1
scaffold_3939	chrUn_NW_016686112v1
scaffold_394	chrUn_NW_016683651v1
scaffold_3940	chrUn_NW_016686113v1
scaffold_3945	chrUn_NW_016686114v1
scaffold_3947	chrUn_NW_016686115v1
scaffold_3948	chrUn_NW_016686116v1
scaffold_3949	chrUn_NW_016686117v1
scaffold_395	chrUn_NW_016683652v1
scaffold_3950	chrUn_NW_016686118v1
scaffold_3952	chrUn_NW_016686119v1
scaffold_3953	chrUn_NW_016686120v1
scaffold_3955	chrUn_NW_016686121v1
scaffold_3956	chrUn_NW_016686122v1
scaffold_3957	chrUn_NW_016686123v1
scaffold_3959	chrUn_NW_016686124v1
scaffold_396	chrUn_NW_016683653v1
scaffold_3961	chrUn_NW_016686125v1
scaffold_3962	chrUn_NW_016686126v1
scaffold_3963	chrUn_NW_016686127v1
scaffold_3964	chrUn_NW_016686128v1
scaffold_3965	chrUn_NW_016686129v1
scaffold_3966	chrUn_NW_016686130v1
scaffold_3969	chrUn_NW_016686131v1
scaffold_397	chrUn_NW_016683654v1
scaffold_3970	chrUn_NW_016686132v1
scaffold_3975	chrUn_NW_016686133v1
scaffold_3976	chrUn_NW_016686134v1
scaffold_3977	chrUn_NW_016686135v1
scaffold_3978	chrUn_NW_016686136v1
scaffold_3979	chrUn_NW_016686137v1
scaffold_398	chrUn_NW_016683655v1
scaffold_3980	chrUn_NW_016686138v1
scaffold_3981	chrUn_NW_016686139v1
scaffold_3982	chrUn_NW_016686140v1
scaffold_3983	chrUn_NW_016686141v1
scaffold_3985	chrUn_NW_016686142v1
scaffold_3987	chrUn_NW_016686143v1
scaffold_3988	chrUn_NW_016686144v1
scaffold_3989	chrUn_NW_016686145v1
scaffold_399	chrUn_NW_016683656v1
scaffold_3992	chrUn_NW_016686146v1
scaffold_3993	chrUn_NW_016686147v1
scaffold_3995	chrUn_NW_016686148v1
scaffold_3996	chrUn_NW_016686149v1
scaffold_3997	chrUn_NW_016686150v1
scaffold_3998	chrUn_NW_016686151v1
scaffold_400	chrUn_NW_016683657v1
scaffold_4000	chrUn_NW_016686152v1
scaffold_4001	chrUn_NW_016686153v1
scaffold_4003	chrUn_NW_016686154v1
scaffold_4005	chrUn_NW_016686155v1
scaffold_4007	chrUn_NW_016686156v1
scaffold_4009	chrUn_NW_016686157v1
scaffold_401	chrUn_NW_016683658v1
scaffold_4010	chrUn_NW_016686158v1
scaffold_4011	chrUn_NW_016686159v1
scaffold_4012	chrUn_NW_016686160v1
scaffold_4013	chrUn_NW_016686161v1
scaffold_4015	chrUn_NW_016686162v1
scaffold_4016	chrUn_NW_016686163v1
scaffold_4018	chrUn_NW_016686164v1
scaffold_4020	chrUn_NW_016686165v1
scaffold_4022	chrUn_NW_016686166v1
scaffold_4023	chrUn_NW_016686167v1
scaffold_4025	chrUn_NW_016686168v1
scaffold_4026	chrUn_NW_016686169v1
scaffold_4027	chrUn_NW_016686170v1
scaffold_4029	chrUn_NW_016686171v1
scaffold_403	chrUn_NW_016683659v1
scaffold_4030	chrUn_NW_016686172v1
scaffold_4031	chrUn_NW_016686173v1
scaffold_4032	chrUn_NW_016686174v1
scaffold_4033	chrUn_NW_016686175v1
scaffold_4034	chrUn_NW_016686176v1
scaffold_4035	chrUn_NW_016686177v1
scaffold_4037	chrUn_NW_016686178v1
scaffold_4039	chrUn_NW_016686179v1
scaffold_404	chrUn_NW_016683660v1
scaffold_4040	chrUn_NW_016686180v1
scaffold_4041	chrUn_NW_016686181v1
scaffold_4042	chrUn_NW_016686182v1
scaffold_4043	chrUn_NW_016686183v1
scaffold_4044	chrUn_NW_016686184v1
scaffold_4045	chrUn_NW_016686185v1
scaffold_4046	chrUn_NW_016686186v1
scaffold_4047	chrUn_NW_016686187v1
scaffold_4048	chrUn_NW_016686188v1
scaffold_4049	chrUn_NW_016686189v1
scaffold_405	chrUn_NW_016683661v1
scaffold_4050	chrUn_NW_016686190v1
scaffold_4051	chrUn_NW_016686191v1
scaffold_4052	chrUn_NW_016686192v1
scaffold_4053	chrUn_NW_016686193v1
scaffold_4054	chrUn_NW_016686194v1
scaffold_4056	chrUn_NW_016686195v1
scaffold_4058	chrUn_NW_016686196v1
scaffold_4059	chrUn_NW_016686197v1
scaffold_406	chrUn_NW_016683662v1
scaffold_4060	chrUn_NW_016686198v1
scaffold_4061	chrUn_NW_016686199v1
scaffold_4062	chrUn_NW_016686200v1
scaffold_4063	chrUn_NW_016686201v1
scaffold_4064	chrUn_NW_016686202v1
scaffold_4065	chrUn_NW_016686203v1
scaffold_4066	chrUn_NW_016686204v1
scaffold_4067	chrUn_NW_016686205v1
scaffold_4068	chrUn_NW_016686206v1
scaffold_4069	chrUn_NW_016686207v1
scaffold_407	chrUn_NW_016683663v1
scaffold_4070	chrUn_NW_016686208v1
scaffold_4073	chrUn_NW_016686209v1
scaffold_4074	chrUn_NW_016686210v1
scaffold_4076	chrUn_NW_016686211v1
scaffold_4077	chrUn_NW_016686212v1
scaffold_4078	chrUn_NW_016686213v1
scaffold_4079	chrUn_NW_016686214v1
scaffold_408	chrUn_NW_016683664v1
scaffold_4082	chrUn_NW_016686215v1
scaffold_4084	chrUn_NW_016686216v1
scaffold_4085	chrUn_NW_016686217v1
scaffold_4087	chrUn_NW_016686218v1
scaffold_4089	chrUn_NW_016686219v1
scaffold_409	chrUn_NW_016683665v1
scaffold_4091	chrUn_NW_016686220v1
scaffold_4092	chrUn_NW_016686221v1
scaffold_4093	chrUn_NW_016686222v1
scaffold_4095	chrUn_NW_016686223v1
scaffold_4096	chrUn_NW_016686224v1
scaffold_4098	chrUn_NW_016686225v1
scaffold_4099	chrUn_NW_016686226v1
scaffold_41	chrUn_NW_016683387v1
scaffold_410	chrUn_NW_016683666v1
scaffold_4100	chrUn_NW_016686227v1
scaffold_4101	chrUn_NW_016686228v1
scaffold_4104	chrUn_NW_016686229v1
scaffold_4105	chrUn_NW_016686230v1
scaffold_4107	chrUn_NW_016686231v1
scaffold_4109	chrUn_NW_016686232v1
scaffold_411	chrUn_NW_016683667v1
scaffold_4112	chrUn_NW_016686233v1
scaffold_4113	chrUn_NW_016686234v1
scaffold_4115	chrUn_NW_016686235v1
scaffold_4118	chrUn_NW_016686236v1
scaffold_412	chrUn_NW_016683668v1
scaffold_4120	chrUn_NW_016686237v1
scaffold_4121	chrUn_NW_016686238v1
scaffold_4123	chrUn_NW_016686239v1
scaffold_4124	chrUn_NW_016686240v1
scaffold_4125	chrUn_NW_016686241v1
scaffold_4126	chrUn_NW_016686242v1
scaffold_4128	chrUn_NW_016686243v1
scaffold_4129	chrUn_NW_016686244v1
scaffold_413	chrUn_NW_016683669v1
scaffold_4130	chrUn_NW_016686245v1
scaffold_4132	chrUn_NW_016686246v1
scaffold_4133	chrUn_NW_016686247v1
scaffold_4135	chrUn_NW_016686248v1
scaffold_4137	chrUn_NW_016686249v1
scaffold_4138	chrUn_NW_016686250v1
scaffold_414	chrUn_NW_016683670v1
scaffold_4140	chrUn_NW_016686251v1
